Name,Age,Gender,Job,House Unit Number,Moving-in Date,Monthly Rental Fee,"July, 2020","August, 2020","September, 2020","October, 2020","November, 2020","December, 2020"
Damian Crase  ,88,M,Dentist,1,7/25/2001,703.45,Paid,Paid,Paid,Paid,Paid,Paid
Hildegarde Mahabir  ,26,F,Librarian,2,12/5/2001,790.26,Paid,Paid,Paid,Paid,Paid,Paid
Zenia Praylow  ,34,F,Middle School Teacher,3,6/6/2002,542.08,Paid,Paid,Paid,Paid,Paid,Paid
Gregoria Fredette  ,28,F,Physician,4,10/3/2003,688.85,Paid,Paid,Paid,Paid,Paid,Paid
Marcus Netherland  ,99,M,Coach,5,2/2/2005,421.75,Not Paid,Not Paid,Not Paid,Not Paid,Not Paid,Not Paid
Kanisha Pennock  ,25,F,Psychologist,6,2/10/2007,563.5,Paid,Paid,Paid,Paid,Paid,Paid
Erika Burts  ,56,F,Electrical Engineer,7,10/15/2007,527.93,Paid,Paid,Paid,Paid,Paid,Paid
Marine Aparicio  ,93,F,Speech-Language Pathologist,8,12/8/2007,549.67,Paid,Paid,Paid,Paid,Paid,Paid
Latasha Bement  ,76,F,Food Scientist,9,1/14/2008,770.23,Paid,Paid,Paid,Paid,Paid,Paid
Reginia Ballweg  ,21,F,Software Developer,10,4/26/2008,697.63,Paid,Paid,Paid,Paid,Paid,Paid
Rocky Tunney  ,28,M,Physician,11,7/4/2008,477.68,Paid,Paid,Paid,Paid,Paid,Paid
Omer Sailer  ,79,M,Urban Planner,12,11/3/2008,675.7,Paid,Paid,Paid,Paid,Paid,Paid
Audie Esquer  ,68,F,Economist,13,5/12/2012,741.18,Paid,Paid,Paid,Paid,Paid,Paid
Latesha Huck  ,66,F,Substance Abuse Counselor,14,12/23/2014,540.86,Paid,Paid,Paid,Paid,Paid,Paid
Paulita Edison  ,37,F,Executive Assistant,15,2/19/2015,643.39,Paid,Paid,Paid,Paid,Paid,Paid
Lon Leroux  ,38,M,Compliance Officer,16,4/21/2016,541.55,Paid,Paid,Paid,Paid,Not Paid,Not Paid
Karleen Curlin  ,46,F,High School Teacher,23,4/18/2017,796.78,Paid,Paid,Paid,Paid,Paid,Paid
Noelle Tomasek  ,80,F,Referee,24,4/25/2017,796.33,Paid,Paid,Paid,Paid,Paid,Paid
Lillia Copas  ,87,F,Computer Systems Analyst,25,9/12/2018,625.58,Paid,Paid,Paid,Paid,Paid,Paid
Ayako Twining  ,21,F,Microbiologist,26,1/11/2019,504.19,Paid,Paid,Paid,Paid,Paid,Paid
Alaine Coplan  ,95,F,Software Developer,27,3/24/2019,577.07,Paid,Paid,Paid,Paid,Paid,Paid
Napoleon Orick  ,96,M,Marriage & Family Therapist,28,6/19/2019,791.73,Paid,Paid,Paid,Paid,Paid,Paid
Roman Soderberg  ,27,M,Construction Manager,29,7/18/2019,637.69,Paid,Paid,Paid,Paid,Paid,Paid
Catalina Furey  ,86,F,Mathematician,30,1/10/2020,441,Paid,Paid,Paid,Paid,Paid,Paid
Danica Gress  ,41,F,Market Research Analyst,31,2/18/2020,474.07,Paid,Paid,Paid,Paid,Paid,Paid
Cammie Padillo  ,76,F,Landscaper & Groundskeeper,32,6/12/2001,457.93,Paid,Paid,Paid,Paid,Not Paid,Paid
Wilson Balliet  ,34,M,Customer Service Representative,33,3/13/2002,548.72,Paid,Paid,Paid,Paid,Paid,Paid
Kamilah Beets  ,77,F,Electrical Engineer,34,9/20/2002,484.73,Paid,Paid,Paid,Paid,Paid,Paid
Grover Tuggle  ,44,M,Executive Assistant,35,11/9/2002,548.92,Paid,Paid,Paid,Paid,Paid,Paid
Gaston Shaver  ,20,M,Computer Systems Analyst,36,4/20/2003,649.53,Paid,Paid,Paid,Paid,Paid,Not Paid
Mickey Bevers  ,97,M,College Professor,37,8/26/2003,738.11,Paid,Paid,Paid,Paid,Paid,Paid
Jamie Hearns  ,25,M,Chef,38,12/27/2003,473.56,Paid,Paid,Paid,Paid,Paid,Paid
Wilbur Reach  ,41,M,Mechanical Engineer,39,5/31/2004,547.25,Paid,Paid,Paid,Paid,Paid,Paid
Melony Beesley  ,97,F,Medical Assistant,40,7/18/2004,714.7,Paid,Paid,Not Paid,Paid,Paid,Paid
Isaiah Wingate  ,93,M,Economist,41,10/5/2004,405.64,Paid,Paid,Paid,Paid,Not Paid,Paid
Moshe Nygard  ,41,M,Personal Care Aide,42,2/24/2007,676.08,Paid,Paid,Paid,Paid,Paid,Paid
Imelda Maass  ,66,F,Dental Hygienist,43,3/7/2007,445.21,Paid,Paid,Paid,Paid,Paid,Paid
Dylan Cory  ,42,M,Mechanical Engineer,44,9/15/2007,717.4,Paid,Paid,Paid,Paid,Paid,Paid
Casie Teitelbaum  ,42,F,Judge,45,3/16/2009,614.25,Paid,Paid,Paid,Paid,Paid,Paid
Kittie Sprow  ,31,F,Artist,46,1/2/2010,636.11,Not Paid,Not Paid,Not Paid,Not Paid,Not Paid,Not Paid
Sidney Youmans  ,35,M,Firefighter,47,4/13/2012,689.59,Paid,Paid,Paid,Paid,Paid,Paid
Ellamae Delany  ,99,F,Executive Assistant,48,3/19/2014,461.29,Paid,Paid,Paid,Paid,Paid,Paid
Zack Esparza  ,57,M,IT Manager,49,4/12/2014,450.59,Paid,Paid,Paid,Paid,Paid,Paid
Britney Pak  ,94,F,Electrical Engineer,50,8/6/2016,442.12,Paid,Paid,Paid,Paid,Paid,Paid
Ignacio Leija  ,49,M,HR Specialist,,6/12/2017,589.52,Paid,Paid,Paid,Paid,Paid,Paid
Jay Lees  ,25,M,Desktop publisher,,6/19/2017,510.26,Paid,Paid,Paid,Paid,Paid,Paid
Tyree Gomer  ,46,M,Civil Engineer,,8/1/2017,555.13,Paid,Paid,Paid,Paid,Paid,Paid
Lonny Overcast  ,26,M,Epidemiologist,,4/13/2018,533.82,Paid,Paid,Paid,Paid,Paid,Paid
Jonathon Fausnaught  ,93,M,Executive Assistant,,8/19/2018,718.23,Paid,Paid,Paid,Not Paid,Paid,Paid
Kelly Strine  ,29,M,Security Guard,,4/22/2020,519.97,Paid,Paid,Paid,Paid,Paid,Paid
Cleveland Segundo  ,88,M,Real Estate Agent,,1/23/2001,779.69,Paid,Paid,Paid,Paid,Paid,Paid
