Name,Age,Gender,Job,House Unit Number,Moving-in Date,Monthly Rental Fee,"January, 2020","February, 2020","March, 2020","April, 2020","May, 2020","June, 2020"
Damian Crase,88,M,Dentist,1,7/25/2001,703.450000,Paid,Paid,Paid,Paid,Paid,Paid
Hildegarde Mahabir,26,F,Librarian,2,12/5/2001,790.260000,Paid,Paid,Paid,Paid,Paid,Paid
Zenia Praylow,34,F,Middle School Teacher,3,6/6/2002,542.080000,Paid,Paid,Paid,Paid,Paid,Paid
Gregoria Fredette,28,F,Physician,4,10/3/2003,688.850000,Paid,Paid,Paid,Paid,Paid,Paid
Marcus Netherland,99,M,Coach,5,2/2/2005,421.750000,Not Paid,Paid,Paid,Paid,Paid,Not Paid
Kanisha Pennock,25,F,Psychologist,6,2/10/2007,563.500000,Paid,Paid,Paid,Paid,Paid,Paid
Erika Burts,56,F,Electrical Engineer,7,10/15/2007,527.930000,Paid,Paid,Paid,Paid,Paid,Paid
Marine Aparicio,93,F,Speech-Language Pathologist,8,12/8/2007,549.670000,Paid,Paid,Paid,Paid,Paid,Paid
Latasha Bement,76,F,Food Scientist,9,1/14/2008,770.230000,Paid,Paid,Paid,Paid,Paid,Paid
Reginia Ballweg,21,F,Software Developer,10,4/26/2008,697.630000,Paid,Paid,Paid,Paid,Paid,Paid
Rocky Tunney,28,M,Physician,11,7/4/2008,477.680000,Paid,Paid,Paid,Paid,Paid,Paid
Omer Sailer,79,M,Urban Planner,12,11/3/2008,675.700000,Paid,Paid,Paid,Paid,Paid,Paid
Audie Esquer,68,F,Economist,13,5/12/2012,741.180000,Paid,Paid,Paid,Paid,Paid,Paid
Latesha Huck,66,F,Substance Abuse Counselor,14,12/23/2014,540.860000,Paid,Paid,Paid,Paid,Paid,Paid
Paulita Edison,37,F,Executive Assistant,15,2/19/2015,643.390000,Paid,Paid,Paid,Paid,Paid,Paid
Lon Leroux,38,M,Compliance Officer,16,4/21/2016,541.550000,Not Paid,Paid,Paid,Paid,Not Paid,Not Paid
